n,ticks_mean,ticks_std
5,0.010000000000000002,1.734723475976807e-18
10,0.020000000000000004,3.469446951953614e-18
15,0.030000000000000006,6.938893903907228e-18
20,0.04000000000000001,6.938893903907228e-18
25,0.05000000000000001,6.938893903907228e-18
30,0.06000000000000001,1.3877787807814457e-17
35,0.07000000000000002,1.3877787807814457e-17
40,0.08000000000000002,1.3877787807814457e-17
45,0.09000000000000001,1.3877787807814457e-17
50,0.10000000000000002,1.3877787807814457e-17
55,0.11000000000000001,1.3877787807814457e-17
60,0.12000000000000002,2.7755575615628914e-17
65,0.12000000000000002,2.7755575615628914e-17
70,0.12999999999999998,2.7755575615628914e-17
75,0.14000000000000004,2.7755575615628914e-17
80,0.14999999999999997,2.7755575615628914e-17
85,0.16000000000000003,2.7755575615628914e-17
90,0.16999999999999998,2.7755575615628914e-17
95,0.18000000000000002,2.7755575615628914e-17
100,0.19,0.0
105,0.20000000000000004,2.7755575615628914e-17
110,0.21000000000000002,2.7755575615628914e-17
115,0.22000000000000003,2.7755575615628914e-17
120,0.23000000000000007,5.551115123125783e-17
125,0.24000000000000005,5.551115123125783e-17
130,0.25,0.0
135,0.25999999999999995,5.551115123125783e-17
140,0.2699999999999999,1.1102230246251565e-16
145,0.2800000000000001,5.551115123125783e-17
150,0.29,0.0
155,0.29999999999999993,5.551115123125783e-17
160,0.30999999999999994,5.551115123125783e-17
165,0.32000000000000006,5.551115123125783e-17
170,0.33,0.0
175,0.33999999999999997,5.551115123125783e-17
180,0.3494999999999999,0.0021794494717703268
185,0.3499999999999999,5.551115123125783e-17
190,0.36000000000000004,5.551115123125783e-17
195,0.37,0.0
200,0.38,0.0
205,0.38999999999999996,5.551115123125783e-17
210,0.4000000000000001,5.551115123125783e-17
215,0.41,0.0
220,0.42000000000000004,5.551115123125783e-17
225,0.43,0.0
230,0.44000000000000006,5.551115123125783e-17
235,0.4499999999999999,1.1102230246251565e-16
240,0.46000000000000013,1.1102230246251565e-16
245,0.47000000000000003,5.551115123125783e-17
250,0.4800000000000001,1.1102230246251565e-16
255,0.49000000000000005,5.551115123125783e-17
260,0.5,0.0
265,0.51,0.0
270,0.5199999999999999,1.1102230246251565e-16
275,0.5299999999999999,1.1102230246251565e-16
280,0.5399999999999998,2.220446049250313e-16
285,0.5500000000000002,1.1102230246251565e-16
290,0.5600000000000002,1.1102230246251565e-16
295,0.5700000000000001,1.1102230246251565e-16
300,0.58,0.0
305,0.58,0.0
310,0.59,0.0
315,0.5999999999999999,1.1102230246251565e-16
320,0.6099999999999999,1.1102230246251565e-16
325,0.6199999999999999,1.1102230246251565e-16
330,0.6300000000000001,1.1102230246251565e-16
