n,m,mean_time,min_time,max_time
2,2,0.0369096,0.0,0.266779
3,3,0.011814299999999998,0.0,0.021475
4,4,0.0133233,0.000441,0.023367
5,5,0.013200900000000002,0.0,0.018875
6,6,0.013551299999999999,0.0,0.018189
7,7,0.0129872,0.0,0.018127
8,8,0.0132333,0.0,0.018552
9,9,0.014064900000000002,0.0,0.015639
10,10,0.013897799999999998,0.0,0.015636
11,11,0.015040900000000001,0.001019,0.024365
12,12,0.016520100000000003,0.01562,0.024555
13,13,0.0171886,0.015615,0.031251
14,14,0.0158987,0.005154,0.022991
15,15,0.0170613,0.014343,0.031375
16,16,0.018288000000000002,0.015621,0.031246
17,17,0.019652100000000002,0.015622,0.026788
18,18,0.0193725,0.013199,0.032958
19,19,0.023179099999999998,0.016262,0.037985
20,20,0.0223809,0.010194,0.033548
21,21,0.022724,0.016435,0.033271
22,22,0.0265989,0.015441,0.036457
23,23,0.027294000000000002,0.015974,0.039763
24,24,0.0264158,0.017428,0.037767
25,25,0.026362000000000003,0.017491,0.034027
26,26,0.029945199999999998,0.020645,0.034149
27,27,0.0302832,0.019464,0.038872
28,28,0.0285684,0.015634,0.03913
29,29,0.0320925,0.015635,0.04304
