Size,TimeSeconds,Cost
2,0.0,54
2,0.0,10
2,0.0,22
2,0.0,47
2,0.0,14
3,0.0,16
3,0.0,49
3,0.014429,24
3,0.0,52
3,0.0,41
4,0.0,16
4,0.0,33
4,0.0,70
4,0.0,48
4,0.0,38
5,0.0,80
5,0.0,53
5,0.0,20
5,0.0,26
5,0.0,59
6,0.001674,74
6,0.0,58
6,0.0,47
6,0.0,52
6,0.0,81
7,0.008002,73
7,0.0,70
7,0.0,63
7,0.0,55
7,0.005356,52
8,0.011174,82
8,0.0,59
8,0.019029,97
8,0.015724,105
8,0.0,32
9,0.050602,87
9,0.015414,65
9,0.001945,47
9,0.030325,70
9,0.02769,64
10,0.090084,68
10,0.129635,72
10,0.052215,69
10,0.23035,86
10,0.100744,76
11,0.150507,61
11,1.024835,93
11,0.499957,73
11,0.376102,88
11,0.496521,82
12,0.852966,79
12,1.28644,108
12,5.616806,116
12,0.782711,67
12,0.334019,61
13,2.783167,67
13,0.333403,62
13,18.517232,109
13,10.398016,99
13,7.666581,92
