population_size,mutation_rate,crossover_rate,solution_cost,solution_weight
25,0.01,0.1,3041,2742
25,0.01,0.3,2925,2742
25,0.01,0.5,2891,2742
25,0.01,0.7,2948,2742
25,0.01,0.9,2912,2742
25,0.05,0.1,3544,2739
25,0.05,0.3,3122,2742
25,0.05,0.5,2967,2742
25,0.05,0.7,2845,2742
25,0.05,0.9,2941,2742
25,0.1,0.1,3745,2742
25,0.1,0.3,3503,2742
25,0.1,0.5,3302,2742
25,0.1,0.7,3120,2742
25,0.1,0.9,2931,2742
25,0.2,0.1,3680,2739
25,0.2,0.3,3974,2739
25,0.2,0.5,3759,2742
25,0.2,0.7,3434,2742
25,0.2,0.9,3265,2742
50,0.01,0.1,2973,2742
50,0.01,0.3,2912,2742
50,0.01,0.5,2974,2742
50,0.01,0.7,3086,2742
50,0.01,0.9,3034,2742
50,0.05,0.1,3742,2742
50,0.05,0.3,3315,2742
50,0.05,0.5,3161,2742
50,0.05,0.7,3143,2742
50,0.05,0.9,3082,2742
50,0.1,0.1,4066,2741
50,0.1,0.3,3810,2742
50,0.1,0.5,3580,2742
50,0.1,0.7,3364,2742
50,0.1,0.9,3188,2742
50,0.2,0.1,4068,2742
50,0.2,0.3,4105,2738
50,0.2,0.5,3978,2737
50,0.2,0.7,3754,2742
50,0.2,0.9,3579,2735
100,0.01,0.1,3093,2742
100,0.01,0.3,3069,2742
100,0.01,0.5,2965,2742
100,0.01,0.7,3129,2742
100,0.01,0.9,3159,2742
100,0.05,0.1,3994,2741
100,0.05,0.3,3720,2742
100,0.05,0.5,3522,2742
100,0.05,0.7,3388,2742
100,0.05,0.9,3250,2742
100,0.1,0.1,4106,2741
100,0.1,0.3,3988,2741
100,0.1,0.5,3877,2742
100,0.1,0.7,3728,2742
100,0.1,0.9,3516,2742
100,0.2,0.1,4184,2741
100,0.2,0.3,4187,2742
100,0.2,0.5,4128,2742
100,0.2,0.7,4030,2742
100,0.2,0.9,3835,2742
200,0.01,0.1,3346,2742
200,0.01,0.3,3095,2742
200,0.01,0.5,3199,2742
200,0.01,0.7,3228,2742
200,0.01,0.9,3291,2742
200,0.05,0.1,4088,2742
200,0.05,0.3,3955,2742
200,0.05,0.5,3884,2742
200,0.05,0.7,3736,2742
200,0.05,0.9,3560,2742
200,0.1,0.1,4197,2742
200,0.1,0.3,4124,2742
200,0.1,0.5,4068,2742
200,0.1,0.7,3986,2742
200,0.1,0.9,3878,2742
200,0.2,0.1,4249,2742
200,0.2,0.3,4204,2742
200,0.2,0.5,4200,2741
200,0.2,0.7,4127,2742
200,0.2,0.9,4061,2741
